Addresses Gap,Product Name,Price,Rating,Num Ratings,Amazon Link,Affiliate Link (beastlyfacts-20),Image URL,ASIN
"Cat dental kit, cat-formulated toothpaste + small brush (Cat Care Essentials, Siamese)",Virbac C.E.T. Oral Hygiene Kit for Cats | Seafood Flavor Toothpaste | Fingerbrush and Pet Toothbrush,$15.29,4.3,40,https://www.amazon.com/dp/B00D1YH3P2,https://www.amazon.com/dp/B00D1YH3P2?tag=beastlyfacts-20,https://m.media-amazon.com/images/I/71ZNKgAOz2L._AC_SX679_.jpg,B00D1YH3P2
"Dog dental kit, dog-formulated toothpaste + multi-size brush heads (Medium Breed Dogs, Large and Giant Breed Dogs, Labrador Retriever, Golden Retriever)","Virbac C.E.T. Oral Hygiene Kit for Dogs | Poultry-Flavor Toothpaste | Fingerbrush and Pet Toothbrush, (Pack of 2)",$30.58,4.6,6119,https://www.amazon.com/dp/B0GHDFXQDB,https://www.amazon.com/dp/B0GHDFXQDB?tag=beastlyfacts-20,"https://m.media-amazon.com/images/I/815vw2YRklL._AC_SX679_PIbundle-2,TopRight,0,0_SH20_.jpg",B0GHDFXQDB
"Litter, standard clumping (universal Cat guide + Domestic Shorthair, Maine Coon, Siamese, Ragdoll, Bengal, Persian)","Purina Tidy Cats Clumping Cat Litter Odor Control, Free and Clean Unscented Multi Cat Litter - 16 lb. Bag",$12.50,4.5,1648,https://www.amazon.com/dp/B0D2FYM5T3,https://www.amazon.com/dp/B0D2FYM5T3?tag=beastlyfacts-20,https://m.media-amazon.com/images/I/71NR--XG88L._AC_SY300_SX300_QL70_FMwebp_.jpg,B0D2FYM5T3
"Carrier, standard adult cat (Cat Care Essentials, Domestic Shorthair)","Petmate Dog Crates for Small Dogs & Cat Carriers, Two-Door Plastic Pet Kennel, Top & Front Loading, Made in USA, 19"", White",$42.95,4.6,21230,https://www.amazon.com/dp/B006060VCU,https://www.amazon.com/dp/B006060VCU?tag=beastlyfacts-20,https://m.media-amazon.com/images/I/51LhSjr1XEL._AC_SX679_.jpg,B006060VCU
"Toys, rotating (Cockatiel, Green Cheek Conure, Lovebird)","KATUMO Bird Toys, Parakeet Swing Parrot Ladder Cockatiel Perch Conure Hanging Bell Toys for Parakeet Conure Cockatiel Mynah Love Bird Small Birds",$20.99,4.7,1819,https://www.amazon.com/dp/B095G51MZG,https://www.amazon.com/dp/B095G51MZG?tag=beastlyfacts-20,https://m.media-amazon.com/images/I/81Iq0rb7T8L._AC_SY300_SX300_QL70_FMwebp_.jpg,B095G51MZG
Cockatiel - Nightlight (prevents night frights),"2 Pack Amber Night Light, Dusk to Dawn Sensor, Warm Glare-Free Reflected Glow, 3-Level Dimmer, Auto On/Off, Plug-in LED Nightlight for Bedroom, Kids, Bathroom, Sleep, Baby Nursery, Toddler",$13.99,4.7,3282,https://www.amazon.com/dp/B0B1C8Q5Z2,https://www.amazon.com/dp/B0B1C8Q5Z2?tag=beastlyfacts-20,"https://m.media-amazon.com/images/I/51CGA3cBYyL._AC_SX522_PIbundle-2,TopRight,0,0_SH20_.jpg",B0B1C8Q5Z2
Betta Fish - 5+ gallon tank,"Vimvins 5 Gallon Glass Small Fish Tank with Filter Light and Lid, Betta Aquarium Starter Kits",$79.99,4.5,284,https://www.amazon.com/dp/B0F1SLXRMH,https://www.amazon.com/dp/B0F1SLXRMH?tag=beastlyfacts-20,https://m.media-amazon.com/images/I/71tMDEWLjoL._AC_SY300_SX300_QL70_FMwebp_.jpg,B0F1SLXRMH
Betta Fish - Substrate (sand or smooth gravel),"CaribSea Super Naturals Aquascape Sunset Gold - 10 lb - Natural Substrate for Freshwater Aquariums, Perfect for Aquascaping & Creating Vibrant Landscapes",$14.61,4.5,59,https://www.amazon.com/dp/B0DQQZ69J6,https://www.amazon.com/dp/B0DQQZ69J6?tag=beastlyfacts-20,https://m.media-amazon.com/images/I/81-9YV-GY1L._AC_SX679_.jpg,B0DQQZ69J6
Rabbit pellet food (one pick from the 4 xlsx brand options),"Oxbow Garden Select Adult Rabbit Food, High-Fiber Rabbit Pellets, USA, 4 lb",$12.74,4.8,1891,https://www.amazon.com/dp/B06XX68LM2,https://www.amazon.com/dp/B06XX68LM2?tag=beastlyfacts-20,https://m.media-amazon.com/images/I/81OvaLtCKXL._AC_SY300_SX300_QL70_FMwebp_.jpg,B06XX68LM2
Rabbit-appropriate carrier (one pick from the 6 xlsx options - the only one explicitly rabbit-specific),"Petsfit 16 X 9 X 9 Inches Rabbit Carrier, Portable Bunny Carrier with Ventilation Holes, Guinea Pig Carrier for Small Animals, Chinchilla, Hedgehog, Squirrel",$31.58,4.7,647,https://www.amazon.com/dp/B00EN63LLM,https://www.amazon.com/dp/B00EN63LLM?tag=beastlyfacts-20,https://m.media-amazon.com/images/I/71boKRVKTbL._AC_SY300_SX300_QL70_FMwebp_.jpg,B00EN63LLM
Small-mammal food/water bowl (one pick from the 3 xlsx options; also closes Guinea Pig - Water bottle and food dishes),"Kaytee Vege-T-Bowl Carrot 7.5 inches, Green",$5.99,4.8,2752,https://www.amazon.com/dp/B000TZ3SNC,https://www.amazon.com/dp/B000TZ3SNC?tag=beastlyfacts-20,https://m.media-amazon.com/images/I/71iA-FHu+WL._AC_SY300_SX300_QL70_FMwebp_.jpg,B000TZ3SNC
"Grooming comb, small mammal (named in affiliate-product-search-list.md)","Small Pet Select - Hair Buster Comb for Rabbits, Cats and Dogs, Metal Pet Comb for Shedding and Detangling, Grooming Tool for Small Pets with Long and Short Fur",$19.00,4.6,9587,https://www.amazon.com/dp/B06ZZXF81G,https://www.amazon.com/dp/B06ZZXF81G?tag=beastlyfacts-20,https://m.media-amazon.com/images/I/714d-vBjv+L._AC_SY300_SX300_QL70_FMwebp_.jpg,B06ZZXF81G
Rabbit-sized litter box (one pick from the 5 xlsx options),"PINVNBY Extra Large Corner Litter Box for Rabbits, Guinea Pigs, Ferrets | 18.3"" Fan-Shaped Potty Trainer with Anti-Spill Guard, Durable Plastic & Cage Clips | Easy-Clean Small Animal Toilet Pan (Blue)",$28.40,4.4,114,https://www.amazon.com/dp/B09F698GWQ,https://www.amazon.com/dp/B09F698GWQ?tag=beastlyfacts-20,https://m.media-amazon.com/images/I/61uxA8+qXlL._AC_SX679_.jpg,B09F698GWQ
Small-mammal enrichment/play toys (one pick from the 4 xlsx options; also a candidate for the Rabbit chew toys split above),"Small Pet Select Tiny Paws Seagrass Play Pack, for Guinea Pig, Rabbit, Bunny, Toys, Hideout Tunnel, Cage Accessories",$57.99,4.8,24,https://www.amazon.com/dp/B0F37K1Z91,https://www.amazon.com/dp/B0F37K1Z91?tag=beastlyfacts-20,"https://m.media-amazon.com/images/I/81E9Tgy6WEL._AC_SX679_PIbundle-5,TopRight,0,0_SH20_.jpg",B0F37K1Z91
"Rabbit's exercise pen, more literal match than the C&C-cage product currently doing double duty (one pick from the 2 xlsx options)","MidWest Homes for Pets Folding Metal Puppy / Dog Exercise Pen, Indoor/Outdoor Playpen with No Door, Provides 16 Sq Feet of Play Space, 30-Inches Tall, Black E-Coated",$43.99,4.7,22694,https://www.amazon.com/dp/B000H8YTJI,https://www.amazon.com/dp/B000H8YTJI?tag=beastlyfacts-20,https://m.media-amazon.com/images/I/81+UhsWxqzL._AC_SY300_SX300_QL70_FMwebp_.jpg,B000H8YTJI
