Product Name,Category,Price,Rating,Num Ratings,Description,Amazon Link,Local Image File,Catalog Slug
"Stainless Steel Feeding Bowls with Clamp, 3 Pack (MotBach)",Feeding & Watering,$9.99,4.7,1417,"3-pack stainless steel clamp-on feeding bowls, 3.9"" diameter; easy on/off, easy to wash.",https://amzn.to/45cQKzq,product-99.jpg,bird-feeding-bowls-motbach-3pack
"Parrot Feeding Cups with Clamp, 2 Pack (PINVNBY)",Feeding & Watering,$7.99,4.5,2688,Clamp-on stainless steel food/water bowls that hang inside the cage to prevent tipping or spilling.,https://amzn.to/4f8dIxB,product-100.jpg,bird-feeding-cups-pinvnby-2pack
"Detachable Stainless Steel Feeding Dishes, 4 Pack (Okllen)",Feeding & Watering,$12.33,4.5,351,"4-pack detachable stainless steel bowls with clamp, ~8 oz capacity (holds up to 10 oz); food-grade, dishwasher safe.",https://amzn.to/3Ref6FW,product-101.jpg,bird-feeding-dishes-okllen-4pack
"RoudyBush Daily Maintenance Bird Food, Mini (44 oz)",Food & Treats,$18.95,4.7,5138,"Scientifically formulated daily maintenance pellets with corn, wheat, soy and more; Mini size, made in USA.",https://amzn.to/4fGIJJa,product-102.jpg,bird-food-roudybush-daily-mini-44oz
"RoudyBush Daily Maintenance Bird Food, Small (22 oz)",Food & Treats,$14.45,4.7,2350,"Same daily maintenance formula in the Small pellet size; no added sugars or colors, no animal byproducts.",https://amzn.to/4gCK0lA,product-103.jpg,bird-food-roudybush-daily-small-22oz
"Harrison's High Potency Fine Bird Food, Organic (1 lb)",Food & Treats,$26.76,4.7,3520,"Certified organic, non-GMO pellets for small to medium birds; supports molting, recovery, and hand-weaning chicks.",https://amzn.to/4wGLzDI,product-104.jpg,bird-food-harrisons-high-potency-fine-1lb
"Harrison's Adult Lifetime Fine Bird Food, Organic (1 lb)",Food & Treats,$22.34,4.7,3443,"Certified organic, non-GMO adult lifetime formula bird food, made in USA.",https://amzn.to/3TGbDAw,product-105.jpg,bird-food-harrisons-adult-lifetime-1lb
Lafeber's Premium Daily Diet Pellets for Parrots (25 lb),Food & Treats,$99.99,4.6,1206,"Nutritionally complete parrot pellets formulated by avian vets and nutritionists; non-GMO, human-grade, no artificial colors/flavors/preservatives, rich in antioxidants and omega 3 & 6.",https://amzn.to/4vEqngK,product-106.jpg,bird-food-lafebers-premium-parrots-25lb
ZuPreem FruitBlend Pellets for Parakeets/Budgies (2 lb),Food & Treats,$15.29,4.6,2641,"Daily pellets with real fruit flavor sized for parakeets, budgies, parrotlets and similar small birds.",https://amzn.to/4b0MGWt,product-107.jpg,bird-food-zupreem-fruitblend-parakeet-2lb
ZuPreem FruitBlend Pellets for Cockatiels/Lovebirds (2 lb),Food & Treats,$16.64,4.6,4305,"Daily pellets with real fruit flavor sized for cockatiels, quakers, small conures, lovebirds and similar medium birds.",https://amzn.to/4566tQT,product-108.jpg,bird-food-zupreem-fruitblend-cockatiel-2lb
Lafeber's Premium Daily Diet Pellets for Canaries (1.25 lb),Food & Treats,$14.95,4.4,289,"Nutritionally complete canary pellets; non-GMO, human-grade, no artificial colors/flavors/preservatives.",https://amzn.to/3TGbHAg,product-109.jpg,bird-food-lafebers-premium-canaries-1-25lb
Kaytee Spray Millet Treat (7 oz),Food & Treats,$5.19,4.6,28205,All-natural spray millet treat with no artificial colors or flavors.,https://amzn.to/4vEqqcq,product-110.jpg,bird-treat-kaytee-spray-millet-7oz
Living World Millet Spray (17.6 oz),Food & Treats,$19.99,4.6,8122,"Wild-harvested, vacuum-packed spray millet for budgies, canaries, finches, cockatiels and other pet birds.",https://amzn.to/4yGD4KS,product-111.jpg,bird-treat-living-world-millet-spray-17-6oz
"Birds LOVE Millet Tips & Tails, USA-Grown (1 lb)",Food & Treats,$12.99,4.6,2626,"Hand-harvested, USA-grown spray millet, pieces 2.5-5 inches, for birds of various sizes.",https://amzn.to/3RdrF4j,product-112.jpg,bird-treat-birds-love-millet-1lb
"Penn-Plax E-Cuttlebone, Omega 3 & Honey Enriched (2 pack)",Food & Treats,$9.99,4.4,13874,"Cuttlebone enriched with flaxseed oil, honey and Vitamin B1; natural calcium source for beak and feather health.",https://amzn.to/4fbLrVy,product-113.jpg,bird-cuttlebone-penn-plax-2ct
"Prevue Bird Cuttlebone, Medium (5 in)",Food & Treats,$1.97,4.3,1005,"Basic 5-inch cuttlebone; provides calcium, iron and trace minerals while trimming the beak.",https://amzn.to/4bqRogo,product-114.jpg,bird-cuttlebone-prevue-5in
Double Cuttlebone,Food & Treats,$7.25,4.2,1296,Natural cuttlefish bone with a dual-surface design giving two distinct pecking surfaces.,https://amzn.to/3QW3RSs,product-115.jpg,bird-cuttlebone-double
"Hanging Sola Ball Chew/Forage Toys, 2 Pack (BBjinronjy)",Decor & Enrichment,$8.99,4.7,1463,"Natural sola-plant balls plus rattan, colorful crinkle paper and wooden blocks with bells; edible and bird-safe.",https://amzn.to/4wMu5Wu,product-116.jpg,bird-toy-bbjinronjy-sola-ball-2pc
Rope Perch Toy with Bell (chew and shred),Decor & Enrichment,$12.95,4.7,2528,"Set of 5 colorful chew toys with a hanging woven basket, rattan balls, popsicle sticks and beads; promotes foraging and shredding.",https://amzn.to/45a3irm,product-117.jpg,bird-toy-rope-perch-bell
Kyouki Natural Foraging Box Toy,Decor & Enrichment,$9.99,4.6,652,"Natural pine cone, apple wood, coconut shell, sola fiber and seagrass foraging toy; no metal, paint, plastic or dye.",https://amzn.to/4fFoJqn,product-118.jpg,bird-toy-kyouki-foraging-box
XLpeixin Natural Rope Perch Chew Toy,Decor & Enrichment,$9.99,4.4,83,"Set of 2 natural rope chew toys with bells, made from wood block, nuts and corn husk.",https://amzn.to/4vDquJE,product-119.jpg,bird-toy-xlpeixin-rope-perch
"Large Bird Swing, Sisal-Wrapped Perches (triangle design)",Decor & Enrichment,$17.99,4.4,52,Swing/perch combo with 3 sisal-wrapped wooden perches in a stable triangle arrangement.,https://amzn.to/4yyqUnh,product-120.jpg,bird-toy-swing-sisal-large
"Levoit Core300-P Air Purifier (HEPA, up to 1073 sq ft)",Air Purifiers,$99.00,4.7,108185,"AHAM-verified purifier, 56W motor, 143 CFM CADR, HEPA-grade filtration in Sleep Mode; covers up to 1,073 sq ft.",https://amzn.to/4ynFpdm,product-121.jpg,air-purifier-levoit-core300-p
"Levoit Vital 100S-P Air Purifier (Smart WiFi, up to 1073 sq ft)",Air Purifiers,$119.99,4.7,11327,"AHAM-verified smart WiFi purifier with air quality monitor; cleans a 222 sq ft room 4.8x/hour, or 1,073 sq ft once per hour.",https://amzn.to/4fG1D2R,product-122.jpg,air-purifier-levoit-vital-100s-p
"Compact Air Purifier, High-Efficiency Filter (up to 1076 sq ft)",Air Purifiers,$26.99,4.5,3941,"Compact one-tap purifier, 6.69 x 6.69 x 9.84 in footprint, covers up to 1,076 sq ft (250 sq ft per 15 min).",https://amzn.to/3T22mTm,product-123.jpg,air-purifier-compact-1076sqft
